                                                                                                                                                                                                                                                                            28 Jan 2026 18:20:01
SatelliteCollection-constellation


RowNumber          Name               Epoch (UTCG)          Ephemeris Start Time (UTCG)    Ephemeris Stop Time (UTCG)     ID    Shell    Plane    Slot    Altitude (km)    SemimajorAxis (km)    Eccentricity    Inclination (deg)    ArgumentOfPerigee (deg)    RAAN (deg)    TrueAnomaly (deg)
       68    Shell_1_P04_S08    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     67    1        04       8          949.863000           7328.000000        0.000000               62.900                      0.000       291.500              180.000
       69    Shell_1_P04_S09    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     68    1        04       9          949.863000           7328.000000        0.000000               62.900                      0.000       291.500              198.000
       70    Shell_1_P04_S10    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     69    1        04       10         949.863000           7328.000000        0.000000               62.900                      0.000       291.500              216.000
       71    Shell_1_P04_S11    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     70    1        04       11         949.863000           7328.000000        0.000000               62.900                      0.000       291.500              234.000
       72    Shell_1_P04_S12    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     71    1        04       12         949.863000           7328.000000        0.000000               62.900                      0.000       291.500              252.000
       73    Shell_1_P04_S13    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     72    1        04       13         949.863000           7328.000000        0.000000               62.900                      0.000       291.500              270.000
       74    Shell_1_P04_S14    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     73    1        04       14         949.863000           7328.000000        0.000000               62.900                      0.000       291.500              288.000
       75    Shell_1_P04_S15    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     74    1        04       15         949.863000           7328.000000        0.000000               62.900                      0.000       291.500              306.000
       76    Shell_1_P04_S16    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     75    1        04       16         949.863000           7328.000000        0.000000               62.900                      0.000       291.500              324.000
       77    Shell_1_P04_S17    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     76    1        04       17         949.863000           7328.000000        0.000000               62.900                      0.000       291.500              342.000
